seed	n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high
20260821	40	null_clean	uncapped	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_clean	cap_4.5	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_clean	cap_5	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_clean	cap_5.5	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_clean	cap_6	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_clean	cap_6.5	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_clean	cap_7	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_clean	cap_8	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260821	40	null_contam_p10	uncapped	1200	499	61	0.050833333333333335	0.0397759124281339	0.0647573364466563
20260821	40	null_contam_p10	cap_4.5	1200	499	52	0.043333333333333335	0.03319710174469772	0.0563840121391335
20260821	40	null_contam_p10	cap_5	1200	499	59	0.049166666666666664	0.03830703804746354	0.06290351416266911
20260821	40	null_contam_p10	cap_5.5	1200	499	62	0.051666666666666666	0.04051171663917239	0.06568288056794659
20260821	40	null_contam_p10	cap_6	1200	499	60	0.05	0.039041012521836546	0.06383088802062488
20260821	40	null_contam_p10	cap_6.5	1200	499	60	0.05	0.039041012521836546	0.06383088802062488
20260821	40	null_contam_p10	cap_7	1200	499	60	0.05	0.039041012521836546	0.06383088802062488
20260821	40	null_contam_p10	cap_8	1200	499	60	0.05	0.039041012521836546	0.06383088802062488
20260821	40	matched_p01_m8	uncapped	1200	499	1200	1.0	0.9968089993972651	1.0
20260821	40	matched_p01_m8	cap_4.5	1200	499	1127	0.9391666666666667	0.924190523909133	0.9513400472281315
20260821	40	matched_p01_m8	cap_5	1200	499	1174	0.9783333333333334	0.9684421563950483	0.9851717863616687
