n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation	median_p_value
160	bimodal_aligned	iqr_fit_all	300	199	181	0.6033333333333334	0.5470046178899679	0.6570491680569592	0.27190195319134575	0.0075
160	bimodal_aligned	trim10_fit_all	300	199	195	0.65	0.5944391111549903	0.7017679974776458	0.3328349505180813	0.005
160	bimodal_aligned	huber_fit_all	300	199	263	0.8766666666666667	0.8346262759711767	0.9091826857063321	0.7237383099003878	0.005
160	bimodal_aligned	iqr_capped3	300	199	183	0.61	0.553748567961591	0.6634699783690088	0.27190195319134575	0.01
160	bimodal_aligned	huber_capped3	300	199	261	0.87	0.8272195707065882	0.9034246305872476	0.723889859990167	0.005
160	unmatched_masking	original_l2	300	199	22	0.07333333333333333	0.04892399383922859	0.10853134160571733	0.04624244605126622	0.155
160	unmatched_masking	iqr_fit_all	300	199	30	0.1	0.07094791459501532	0.1391664623846215	0.06315282922037475	0.15
160	unmatched_masking	trim10_fit_all	300	199	27	0.09	0.06259022560547936	0.12777701079864834	0.062455761717172084	0.16
160	unmatched_masking	huber_fit_all	300	199	26	0.08666666666666667	0.05982889751804311	0.12395595869424827	0.06246868535230463	0.1475
160	unmatched_masking	iqr_capped3	300	199	63	0.21	0.1677218007333024	0.25961112257693425	0.07598860269806551	0.185
160	unmatched_masking	huber_capped3	300	199	79	0.2633333333333333	0.21671150294236005	0.3159395034372583	0.08572972116394112	0.135
