n	replication	root_seed	truth	method	estimate	se	z	covered	coefficient_x	coefficient_y	error
160	46	2026090701	0.19347511885804566	direct_only_ablation	0.040537319941167174	0.07720884824383768	-1.9808325392172261	0	-0.39010068518633295	-0.05633888087243667	
160	46	2026090701	0.19347511885804566	oracle_fixed_reference	0.040279558755031745	0.07859064831939004	-1.9492848497754052	1	-0.39010068518633295	-0.05633888087243667	
160	47	2026090701	0.19347511885804566	complete_kde	-0.06036790690814126	0.08107058485170081	-3.1311359876153833	0	-0.21713957676754883	-0.4091636263480223	
160	47	2026090701	0.19347511885804566	direct_only_ablation	-0.06036790690814136	0.07548797989039761	-3.3626946453560733	0	-0.21713957676754883	-0.4091636263480223	
160	47	2026090701	0.19347511885804566	oracle_fixed_reference	-0.054155999569694635	0.07439408968760657	-3.3286396737642128	0	-0.21713957676754883	-0.4091636263480223	
160	48	2026090701	0.19347511885804566	complete_kde	0.07726831807430365	0.11080415719195139	-1.048758491817517	1	-0.18892103594752943	-0.007114686616274665	
160	48	2026090701	0.19347511885804566	direct_only_ablation	0.07726831807430337	0.11011138540023764	-1.0553568131156352	1	-0.18892103594752943	-0.007114686616274665	
160	48	2026090701	0.19347511885804566	oracle_fixed_reference	0.08475631333601755	0.10970829865956135	-0.9909806901608806	1	-0.18892103594752943	-0.007114686616274665	
160	49	2026090701	0.19347511885804566	complete_kde	0.0317831531166354	0.07495195452323457	-2.1572748405285003	0	-0.18647764455739457	-0.11888938654744097	
160	49	2026090701	0.19347511885804566	direct_only_ablation	0.03178315311663566	0.07451066367253158	-2.170051342610949	0	-0.18647764455739457	-0.11888938654744097	
160	49	2026090701	0.19347511885804566	oracle_fixed_reference	0.010602272928132506	0.0744830507778193	-2.4552276527369608	0	-0.18647764455739457	-0.11888938654744097	
160	50	2026090701	0.19347511885804566	complete_kde	0.17445540123391048	0.09405330225253376	-0.20222275208442025	1	-0.1040169883638057	-0.25359299086130027	
160	50	2026090701	0.19347511885804566	direct_only_ablation	0.17445540123391032	0.0936186447639588	-0.20316164234261097	1	-0.1040169883638057	-0.25359299086130027	
160	50	2026090701	0.19347511885804566	oracle_fixed_reference	0.1626239322319433	0.0927677552969639	-0.3325636858124135	1	-0.1040169883638057	-0.25359299086130027	
160	51	2026090701	0.19347511885804566	complete_kde	0.3328457786627437	0.08701445058635363	1.6016955674090683	1	-0.24540100969468834	-0.06905045551110903	
160	51	2026090701	0.19347511885804566	direct_only_ablation	0.3328457786627438	0.0866073878067238	1.609223685578911	1	-0.24540100969468834	-0.06905045551110903	
160	51	2026090701	0.19347511885804566	oracle_fixed_reference	0.3058860188080668	0.08844236691330577	1.2710073675460332	1	-0.24540100969468834	-0.06905045551110903	
160	52	2026090701	0.19347511885804566	complete_kde	0.3571315281779423	0.10272346839118847	1.5931744895593396	1	-0.16442518616552315	-0.016890543680188386	
160	52	2026090701	0.19347511885804566	direct_only_ablation	0.35713152817794236	0.10356585213695389	1.58021592970123	1	-0.16442518616552315	-0.016890543680188386	
160	52	2026090701	0.19347511885804566	oracle_fixed_reference	0.33863535454402993	0.10334698207987333	1.4045909494850553	1	-0.16442518616552315	-0.016890543680188386	
160	53	2026090701	0.19347511885804566	complete_kde	0.32160232499658536	0.08686408556874481	1.4750308519294661	1	-0.22103107482726023	-0.1388495978372932	
160	53	2026090701	0.19347511885804566	direct_only_ablation	0.3216023249965855	0.08724753125069613	1.4685482133629713	1	-0.22103107482726023	-0.1388495978372932	
160	53	2026090701	0.19347511885804566	oracle_fixed_reference	0.32475331681626424	0.08675946925319655	1.5131281817215794	1	-0.22103107482726023	-0.1388495978372932	
160	54	2026090701	0.19347511885804566	complete_kde	0.0714707072942405	0.07926807276230667	-1.5391368468065034	1	-0.3272350180325599	-0.18153060484396932	
160	54	2026090701	0.19347511885804566	direct_only_ablation	0.07147070729424045	0.07423975154113574	-1.6433838884307608	1	-0.3272350180325599	-0.18153060484396932	
160	54	2026090701	0.19347511885804566	oracle_fixed_reference	0.09470781610338953	0.07597559779278563	-1.29998717514579	1	-0.3272350180325599	-0.18153060484396932	
