kind	scale_design	df_label	n	k_extremes	magnitude	repetition	matched_c_delta	matched_correlation	matched_p_value	independent_null_c_delta	independent_null_correlation	independent_null_p_value
l2	common_scale_parameter	normal	80	2	8.0	191	1.21049795	0.86709424	0.00333333	0.97999823	-0.07479934	0.86
l2	common_scale_parameter	normal	80	2	8.0	192	1.24994007	0.88124101	0.00333333	1.10382287	0.42146616	0.03666667
l2	common_scale_parameter	normal	80	2	8.0	193	1.23157734	0.91171269	0.00333333	0.98940323	-0.04205545	0.61333333
l2	common_scale_parameter	normal	80	2	8.0	194	1.19238419	0.81861111	0.00333333	0.98887844	-0.04120878	0.56
l2	common_scale_parameter	normal	80	2	8.0	195	1.2479797	0.92555902	0.00333333	0.99488216	-0.01974819	0.41333333
l2	common_scale_parameter	normal	80	2	8.0	196	1.22728011	0.88590403	0.00333333	0.99209211	-0.03025228	0.52333333
l2	common_scale_parameter	normal	80	2	8.0	197	1.22268396	0.88020007	0.00333333	1.0050885	0.01797353	0.20333333
l2	common_scale_parameter	normal	80	2	8.0	198	1.21633587	0.89837763	0.00333333	0.98699657	-0.05798054	0.71
l2	common_scale_parameter	normal	80	2	8.0	199	1.25113941	0.91034315	0.00333333	0.99068171	-0.03550942	0.55
l2	common_scale_parameter	normal	80	2	8.0	200	1.21567236	0.8651692	0.00333333	1.12177844	0.4748203	0.01
l2	common_scale_parameter	normal	80	2	8.0	201	1.21934697	0.87359599	0.00666667	0.98554593	-0.06028673	0.76333333
l2	common_scale_parameter	normal	80	2	8.0	202	1.22881633	0.9030438	0.00333333	0.98452688	-0.05739639	0.75666667
l2	common_scale_parameter	normal	80	2	8.0	203	1.22364203	0.91714966	0.00333333	1.00468766	0.01895358	0.32333333
l2	common_scale_parameter	normal	80	2	8.0	204	1.20426996	0.88043909	0.00333333	0.9840523	-0.06703609	0.83
l2	common_scale_parameter	normal	80	2	8.0	205	1.20401547	0.83047853	0.00333333	1.01548814	0.06280227	0.12666667
l2	common_scale_parameter	normal	80	2	8.0	206	1.20679281	0.91946671	0.00333333	0.98790765	-0.04798103	0.62333333
l2	common_scale_parameter	normal	80	2	8.0	207	1.24379003	0.90858899	0.00333333	0.97634903	-0.08982847	0.97333333
l2	common_scale_parameter	normal	80	2	8.0	208	1.24006312	0.91844439	0.00333333	1.00376551	0.01371018	0.20333333
l2	common_scale_parameter	normal	80	2	8.0	209	1.22592067	0.90563715	0.00333333	1.00715698	0.02984771	0.19
