target_corr	kind	background	n	k_extremes	scenario	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
0.25	l1	t3	40	3	independent_null	3.5	0.2698	0.8698	0.05	220	399	14	0.0636	0.0383	0.104	0.8255	0.007	0.4945	0.0323	0.4788	0.9551	0.2727
0.25	l1	t3	80	1	matched	6.0	0.2531	0.8084	0.05	220	399	120	0.5455	0.4794	0.6099	0.8072	0.2371	0.0837	0.005	0.0425	0.311	1.0
0.25	l1	t3	80	1	independent_null	6.0	0.2531	0.8084	0.05	220	399	12	0.0545	0.0315	0.0929	0.7501	0.0088	0.4747	0.0475	0.4325	0.9451	0.0227
0.25	l1	t3	80	2	matched	5.0	0.2817	0.8247	0.05	220	399	123	0.5591	0.493	0.6231	0.8173	0.2556	0.0664	0.0025	0.0363	0.2175	2.0
0.25	l1	t3	80	2	independent_null	5.0	0.2817	0.8247	0.05	220	399	6	0.0273	0.0126	0.0582	0.7567	-0.0103	0.5292	0.0794	0.5363	0.9675	0.0545
0.25	l1	t3	80	3	matched	4.5	0.2449	0.8188	0.05	220	399	141	0.6409	0.5756	0.7014	0.8326	0.263	0.0576	0.0025	0.03	0.2027	3.0
0.25	l1	t3	80	3	independent_null	4.5	0.2449	0.8188	0.05	220	399	8	0.0364	0.0185	0.0701	0.7723	-0.0001	0.5003	0.0598	0.5125	0.9354	0.1182
0.25	l1	t3	160	1	matched	8.0	0.2165	0.7758	0.05	220	399	167	0.7591	0.6984	0.8108	0.7821	0.2244	0.0369	0.0025	0.0225	0.1255	1.0
0.25	l1	t3	160	1	independent_null	8.0	0.2165	0.7758	0.05	220	399	4	0.0182	0.0071	0.0458	0.7114	-0.0045	0.5095	0.0649	0.5425	0.9279	0.0045
0.25	l1	t3	160	2	matched	7.0	0.2877	0.7939	0.05	220	399	184	0.8364	0.7818	0.8794	0.785	0.2606	0.0258	0.0025	0.0112	0.1127	2.0
0.25	l1	t3	160	2	independent_null	7.0	0.2877	0.7939	0.05	220	399	15	0.0682	0.0418	0.1094	0.7178	0.0049	0.4822	0.0299	0.4912	0.9251	0.05
0.25	l1	t3	160	3	matched	5.5	0.25	0.8034	0.05	220	399	168	0.7636	0.7033	0.815	0.8018	0.2329	0.0326	0.0025	0.0125	0.1251	3.0
0.25	l1	t3	160	3	independent_null	5.5	0.25	0.8034	0.05	220	399	7	0.0318	0.0155	0.0642	0.7382	0.0003	0.4914	0.0823	0.4988	0.9426	0.0545
0.25	l1	t2	40	1	matched	7.0	0.2889	0.7749	0.05	220	399	65	0.2955	0.2391	0.3588	0.7668	0.2497	0.1331	0.01	0.0975	0.3651	1.0
0.25	l1	t2	40	1	independent_null	7.0	0.2889	0.7749	0.05	220	399	13	0.0591	0.0349	0.0985	0.6972	0.0114	0.4789	0.035	0.4862	0.9501	0.0227
0.25	l1	t2	40	2	matched	5.0	0.2574	0.8089	0.05	220	399	54	0.2455	0.1933	0.3064	0.7875	0.1962	0.176	0.005	0.1325	0.5079	2.0
0.25	l1	t2	40	2	independent_null	5.0	0.2574	0.8089	0.05	220	399	12	0.0545	0.0315	0.0929	0.7317	0.0046	0.5058	0.0444	0.5088	0.9577	0.1
0.25	l1	t2	40	3	matched	5.0	0.2801	0.8239	0.05	220	399	80	0.3636	0.3029	0.429	0.8136	0.2506	0.1469	0.0025	0.0938	0.4651	3.0
0.25	l1	t2	40	3	independent_null	5.0	0.2801	0.8239	0.05	220	399	8	0.0364	0.0185	0.0701	0.7551	-0.0143	0.5227	0.0674	0.5325	0.9552	0.2182
0.25	l1	t2	80	1	matched	10.0	0.2891	0.7343	0.05	220	399	107	0.4864	0.4211	0.5521	0.7166	0.25	0.0722	0.005	0.0525	0.2161	1.0
