kind	df_label	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	t8	160	1	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8562	-0.0076	0.0	0.5237	0.0663	0.5167	0.9472
l2	t8	160	2	4.0	matched	0.05	120	299	109	0.9083	0.8433	0.948	0.9201	0.2502	2.0	0.0181	0.0033	0.0067	0.0703
l2	t8	160	2	4.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.893	0.0069	0.05	0.4822	0.043	0.4667	0.9572
l2	t8	160	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9346	0.5047	2.0	0.0037	0.0033	0.0033	0.0067
l2	t8	160	2	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.867	-0.0015	0.025	0.4995	0.0758	0.46	0.9568
l2	t8	160	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9509	0.6931	2.0	0.0034	0.0033	0.0033	0.0033
l2	t8	160	2	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8333	0.0001	0.0083	0.4752	0.0533	0.44	0.957
l2	t8	160	3	4.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9255	0.3224	3.0	0.0067	0.0033	0.0033	0.0168
l2	t8	160	3	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8903	0.0015	0.05	0.5046	0.0433	0.5033	0.9503
l2	t8	160	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9449	0.6052	3.0	0.0033	0.0033	0.0033	0.0033
l2	t8	160	3	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8592	0.0104	0.0917	0.47	0.0363	0.425	0.9372
l2	t8	160	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9614	0.7768	3.0	0.0033	0.0033	0.0033	0.0033
l2	t8	160	3	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8204	-0.0017	0.05	0.5117	0.0467	0.57	0.9268
l2	t5	40	1	4.0	matched	0.05	120	299	60	0.5	0.4119	0.5881	0.9269	0.3321	1.0	0.0709	0.0067	0.0483	0.2105
l2	t5	40	1	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8861	-0.0226	0.025	0.5414	0.0767	0.585	0.9335
l2	t5	40	1	6.0	matched	0.05	120	299	114	0.95	0.8952	0.9769	0.9492	0.6219	1.0	0.0189	0.0033	0.0133	0.047
l2	t5	40	1	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8568	-0.0042	0.0167	0.5058	0.0725	0.5017	0.9368
l2	t5	40	1	8.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9633	0.7675	1.0	0.0177	0.0033	0.0167	0.0367
l2	t5	40	1	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8275	0.0171	0.0417	0.5029	0.0427	0.5317	0.9702
l2	t5	40	2	4.0	matched	0.05	120	299	107	0.8917	0.8234	0.9356	0.9459	0.4985	2.0	0.0195	0.0033	0.0067	0.087
l2	t5	40	2	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8854	-0.0124	0.0917	0.5238	0.0833	0.5167	0.9502
l2	t5	40	2	6.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9625	0.7215	2.0	0.0062	0.0033	0.0033	0.0167
l2	t5	40	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8532	0.0028	0.1	0.4986	0.0592	0.525	0.9313
l2	t5	40	2	8.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9769	0.8537	2.0	0.0045	0.0033	0.0033	0.0068
l2	t5	40	2	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8228	-0.0026	0.0667	0.4831	0.0932	0.4483	0.9467
l2	t5	40	3	4.0	matched	0.05	120	299	108	0.9	0.8333	0.9419	0.951	0.5274	3.0	0.0199	0.0033	0.0033	0.067
l2	t5	40	3	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8916	-0.0097	0.1917	0.5197	0.0563	0.57	0.9635
l2	t5	40	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9708	0.7679	3.0	0.0044	0.0033	0.0033	0.0067
