n	noise	positive_probability	contamination_fraction	magnitude_family	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
20	0.15	0.5	0.0	lognormal	huber_cap6	1500	499	0.7946666666666666	0.7734841544283532	0.8143437677338864
20	0.15	0.5	0.05	uniform	original_l2	1500	499	0.050666666666666665	0.040670651803700913	0.06295826327016886
20	0.15	0.5	0.05	uniform	original_l1	1500	499	0.056	0.04545839056668995	0.06880994391283121
20	0.15	0.5	0.05	uniform	huber_primary	1500	499	0.058	0.047261512311441406	0.07099660444519904
20	0.15	0.5	0.05	uniform	huber_cap6	1500	499	0.06466666666666666	0.053299069453722925	0.07825832155998175
20	0.15	0.5	0.05	lognormal	original_l2	1500	499	0.05	0.040074440990789065	0.062224546657374286
20	0.15	0.5	0.05	lognormal	original_l1	1500	499	0.05333333333333334	0.04306062753158088	0.0658879972451146
20	0.15	0.5	0.05	lognormal	huber_primary	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805
20	0.15	0.5	0.05	lognormal	huber_cap6	1500	499	0.06466666666666666	0.053299069453722925	0.07825832155998175
20	0.15	0.65	0.0	uniform	original_l2	1500	499	0.446	0.4210146833531664	0.4712611951646132
20	0.15	0.65	0.0	uniform	original_l1	1500	499	0.262	0.24037545318970419	0.2848404558331022
20	0.15	0.65	0.0	uniform	huber_primary	1500	499	0.31466666666666665	0.29166475852217516	0.3386154171314388
20	0.15	0.65	0.0	uniform	huber_cap6	1500	499	0.31333333333333335	0.2903617633390116	0.3372585574631895
20	0.15	0.65	0.0	lognormal	original_l2	1500	499	0.6733333333333333	0.6491828182603432	0.6965983124233273
20	0.15	0.65	0.0	lognormal	original_l1	1500	499	0.52	0.4946983961868164	0.5451994265843765
20	0.15	0.65	0.0	lognormal	huber_primary	1500	499	0.516	0.4907013497878246	0.5412169084291295
20	0.15	0.65	0.0	lognormal	huber_cap6	1500	499	0.5106666666666667	0.4853744676936894	0.5359043711176136
20	0.15	0.65	0.05	uniform	original_l2	1500	499	0.043333333333333335	0.03414340356776986	0.054856309823329244
20	0.15	0.65	0.05	uniform	original_l1	1500	499	0.04733333333333333	0.03769502441859292	0.059284253526744726
20	0.15	0.65	0.05	uniform	huber_primary	1500	499	0.04666666666666667	0.03710158016621855	0.05854777035341267
20	0.15	0.65	0.05	uniform	huber_cap6	1500	499	0.048	0.03828904363175826	0.06002016173928581
20	0.15	0.65	0.05	lognormal	original_l2	1500	499	0.042666666666666665	0.03355366749284015	0.054116118472552516
20	0.15	0.65	0.05	lognormal	original_l1	1500	499	0.046	0.03650872245690122	0.05781070063702358
20	0.15	0.65	0.05	lognormal	huber_primary	1500	499	0.04666666666666667	0.03710158016621855	0.05854777035341267
20	0.15	0.65	0.05	lognormal	huber_cap6	1500	499	0.06266666666666666	0.05148363681474642	0.07608397192183898
20	0.5	0.5	0.0	uniform	original_l2	1500	499	0.49333333333333335	0.4680819153569032	0.5186188103860325
20	0.5	0.5	0.0	uniform	original_l1	1500	499	0.33466666666666667	0.31123610845965044	0.3589418899651562
20	0.5	0.5	0.0	uniform	huber_primary	1500	499	0.44	0.41506471825927505	0.46524181342714677
20	0.5	0.5	0.0	uniform	huber_cap6	1500	499	0.43933333333333335	0.4144038397079614	0.46457276455275404
20	0.5	0.5	0.0	lognormal	original_l2	1500	499	0.726	0.7028734003661228	0.7479719969483551
20	0.5	0.5	0.0	lognormal	original_l1	1500	499	0.6033333333333334	0.5783428369110308	0.627795914073465
20	0.5	0.5	0.0	lognormal	huber_primary	1500	499	0.6553333333333333	0.6309130007844239	0.678960089405173
20	0.5	0.5	0.0	lognormal	huber_cap6	1500	499	0.6546666666666666	0.6302370801724201	0.6783060825914703
20	0.5	0.5	0.05	uniform	original_l2	1500	499	0.050666666666666665	0.040670651803700913	0.06295826327016886
20	0.5	0.5	0.05	uniform	original_l1	1500	499	0.052	0.04186463169739715	0.06442413822788547
20	0.5	0.5	0.05	uniform	huber_primary	1500	499	0.05266666666666667	0.042462382108623964	0.06515631524236508
20	0.5	0.5	0.05	uniform	huber_cap6	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805
20	0.5	0.5	0.05	lognormal	original_l2	1500	499	0.04933333333333333	0.03947876255528736	0.061490297667169555
20	0.5	0.5	0.05	lognormal	original_l1	1500	499	0.054	0.04365935933562643	0.06661919286677545
20	0.5	0.5	0.05	lognormal	huber_primary	1500	499	0.05466666666666667	0.0442585691503609	0.06734991047774742
20	0.5	0.5	0.05	lognormal	huber_cap6	1500	499	0.058	0.047261512311441406	0.07099660444519904
20	0.5	0.65	0.0	uniform	original_l2	1500	499	0.282	0.2598077776927064	0.30530595410129263
20	0.5	0.65	0.0	uniform	original_l1	1500	499	0.178	0.15947231647565113	0.19817273690814569
20	0.5	0.65	0.0	uniform	huber_primary	1500	499	0.22133333333333333	0.2010511263184423	0.24303920973627213
20	0.5	0.65	0.0	uniform	huber_cap6	1500	499	0.21933333333333332	0.1991242278062118	0.24097632597138335
20	0.5	0.65	0.0	lognormal	original_l2	1500	499	0.5073333333333333	0.4820466238874619	0.5325825777953088
20	0.5	0.65	0.0	lognormal	original_l1	1500	499	0.38866666666666666	0.3643131601447902	0.41358895976223686
20	0.5	0.65	0.0	lognormal	huber_primary	1500	499	0.4146666666666667	0.3899837532518891	0.4397855362576885
20	0.5	0.65	0.0	lognormal	huber_cap6	1500	499	0.408	0.3833946733488329	0.43307534190368047
20	0.5	0.65	0.05	uniform	original_l2	1500	499	0.04666666666666667	0.03710158016621855	0.05854777035341267
20	0.5	0.65	0.05	uniform	original_l1	1500	499	0.048	0.03828904363175826	0.06002016173928581
