design	scenario	temperature	aggregation	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high	mean_profile_weight
balanced	dyadic	0.0	sqrt_rooms	cv_standardized	600	75	0.125	0.10089974887356176	0.15387152688671377	0.5000000000000001
balanced	dyadic	0.0	sqrt_rooms	mantel	600	162	0.27	0.23602264667772457	0.3069037357885778	0.5000000000000001
balanced	dyadic	0.0	sqrt_rooms	nested_max	600	99	0.165	0.13744910047022482	0.1968132392089547	0.5000000000000001
balanced	dyadic	0.0	sqrt_rooms	profile	600	92	0.15333333333333332	0.12671592117000455	0.18436152486616128	0.5000000000000001
balanced	dyadic	0.0	sqrt_rooms	standardized_max	600	141	0.235	0.20282559541589984	0.27054610612136154	0.5000000000000001
balanced	dyadic	0.1	building_equal	cv_retrained	600	81	0.135	0.10996732443966875	0.16467671730033281	0.5015368433485549
balanced	dyadic	0.1	building_equal	cv_standardized	600	73	0.12166666666666667	0.09788899177278657	0.15025802866091367	0.5036240943345679
balanced	dyadic	0.1	building_equal	mantel	600	162	0.27	0.23602264667772457	0.3069037357885778	0.5015368433485549
balanced	dyadic	0.1	building_equal	nested_max	600	99	0.165	0.13744910047022482	0.1968132392089547	0.5015368433485549
balanced	dyadic	0.1	building_equal	profile	600	92	0.15333333333333332	0.12671592117000455	0.18436152486616128	0.5015368433485549
balanced	dyadic	0.1	building_equal	standardized_max	600	141	0.235	0.20282559541589984	0.27054610612136154	0.5015368433485549
balanced	dyadic	0.1	room_equal	cv_retrained	600	81	0.135	0.10996732443966875	0.16467671730033281	0.5015368433485549
balanced	dyadic	0.1	room_equal	cv_standardized	600	73	0.12166666666666667	0.09788899177278657	0.15025802866091367	0.5036240943345679
balanced	dyadic	0.1	room_equal	mantel	600	162	0.27	0.23602264667772457	0.3069037357885778	0.5015368433485549
balanced	dyadic	0.1	room_equal	nested_max	600	99	0.165	0.13744910047022482	0.1968132392089547	0.5015368433485549
balanced	dyadic	0.1	room_equal	profile	600	92	0.15333333333333332	0.12671592117000455	0.18436152486616128	0.5015368433485549
balanced	dyadic	0.1	room_equal	standardized_max	600	141	0.235	0.20282559541589984	0.27054610612136154	0.5015368433485549
balanced	dyadic	0.1	sqrt_rooms	cv_retrained	600	81	0.135	0.10996732443966875	0.16467671730033281	0.5015368433485551
balanced	dyadic	0.1	sqrt_rooms	cv_standardized	600	73	0.12166666666666667	0.09788899177278657	0.15025802866091367	0.5036240943345681
balanced	dyadic	0.1	sqrt_rooms	mantel	600	162	0.27	0.23602264667772457	0.3069037357885778	0.5015368433485551
balanced	dyadic	0.1	sqrt_rooms	nested_max	600	99	0.165	0.13744910047022482	0.1968132392089547	0.5015368433485551
balanced	dyadic	0.1	sqrt_rooms	profile	600	92	0.15333333333333332	0.12671592117000455	0.18436152486616128	0.5015368433485551
