section	source_file	kind	background	n	k_extremes	scenario	target_corr	selected_magnitude	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	40	2	independent_null	0.35	4.5	0.05	300	499	15	0.05	0.0305	0.0808	0.8755	-0.0073	0.5187	0.0496	0.544	0.9581	0.1
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	40	3	matched	0.35	4.5	0.05	300	499	210	0.7	0.6459	0.7491	0.9346	0.4193	0.0499	0.002	0.014	0.2165	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	40	3	independent_null	0.35	4.5	0.05	300	499	15	0.05	0.0305	0.0808	0.8825	-0.0054	0.5144	0.0517	0.531	0.9443	0.2333
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	80	1	matched	0.35	7.0	0.05	300	499	220	0.7333	0.6806	0.7802	0.8952	0.3169	0.0397	0.002	0.024	0.1283	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	80	1	independent_null	0.35	7.0	0.05	300	499	8	0.0267	0.0136	0.0517	0.8435	-0.0117	0.523	0.0799	0.536	0.9526	0.0133
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	80	2	matched	0.35	6.0	0.05	300	499	236	0.7867	0.7368	0.8292	0.9038	0.3518	0.0321	0.002	0.01	0.1241	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	80	2	independent_null	0.35	6.0	0.05	300	499	19	0.0633	0.0409	0.0968	0.8527	0.0086	0.4805	0.032	0.497	0.9245	0.0633
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	80	3	matched	0.35	5.0	0.05	300	499	216	0.72	0.6667	0.7678	0.9079	0.3223	0.0394	0.002	0.016	0.1482	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	80	3	independent_null	0.35	5.0	0.05	300	499	11	0.0367	0.0206	0.0645	0.8626	-0.0012	0.4998	0.0599	0.502	0.9202	0.0867
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	160	1	matched	0.35	8.0	0.05	300	499	225	0.75	0.698	0.7956	0.8757	0.2293	0.0391	0.002	0.02	0.1222	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	160	1	independent_null	0.35	8.0	0.05	300	499	19	0.0633	0.0409	0.0968	0.8401	-0.0002	0.511	0.0399	0.544	0.9343	0.0067
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	160	2	matched	0.35	8.0	0.05	300	499	286	0.9533	0.9232	0.972	0.8916	0.3546	0.0126	0.002	0.004	0.0422	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	160	2	independent_null	0.35	8.0	0.05	300	499	14	0.0467	0.028	0.0768	0.8316	-0.0027	0.5143	0.052	0.509	0.9501	0.0433
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	160	3	matched	0.35	7.0	0.05	300	499	282	0.94	0.9072	0.9617	0.9002	0.3783	0.0103	0.002	0.002	0.0541	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	160	3	independent_null	0.35	7.0	0.05	300	499	11	0.0367	0.0206	0.0645	0.8367	0.0036	0.4804	0.0714	0.474	0.9302	0.0633
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	20	1	matched	0.35	2.5	0.05	300	499	46	0.1533	0.117	0.1985	0.9332	0.283	0.1528	0.01	0.149	0.32	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	20	1	independent_null	0.35	2.5	0.05	300	499	15	0.05	0.0305	0.0808	0.9038	-0.0173	0.5275	0.0499	0.539	0.98	0.0633
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	20	2	matched	0.35	2.5	0.05	300	499	138	0.46	0.4045	0.5165	0.957	0.4179	0.0788	0.002	0.057	0.224	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	20	2	independent_null	0.35	2.5	0.05	300	499	11	0.0367	0.0206	0.0645	0.9248	0.0096	0.4858	0.0696	0.485	0.9161	0.2067
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	20	3	matched	0.35	2.0	0.05	300	499	56	0.1867	0.1466	0.2346	0.9565	0.246	0.2118	0.004	0.178	0.5722	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	20	3	independent_null	0.35	2.0	0.05	300	499	12	0.04	0.023	0.0686	0.943	-0.0061	0.5061	0.0599	0.507	0.9722	0.45
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	40	1	matched	0.35	3.5	0.05	300	499	117	0.39	0.3365	0.4463	0.9135	0.3355	0.0664	0.008	0.064	0.136	1.0
